hpirank,country,year,iso,yearcode,continent,populationthousands,lifeexpectancy,ladderwellbeing,ecofootprint,hpi,biocapacity,gdp
112,Latvia,2015,LVA,2015LVA,7,1997.675,74.7,5.880597591,6.16647606,36.31080676,1.61,26706.26276
22,Morocco,2015,MAR,2015MAR,4,34663.608,75.7,5.163156986,1.789557021,51.40795506,1.61,7129.68627
8,Moldova,2015,MDA,2015MDA,7,4070.705,71.5,6.017472267,1.530720247,55.76270768,1.61,10360.82959
106,Madagascar,2015,MDG,2015MDG,5,24234.08,65.5,3.592514038,0.927791747,37.70188054,1.61,1546.766536
14,Mexico,2015,MEX,2015MEX,1,121858.251,74.9,6.236287117,2.531891089,53.59353453,1.61,19332.07427
81,North Macedonia,2015,MKD,2015MKD,7,2079.335,75.4,4.975589752,3.157434727,42.68560487,1.61,15121.12307
117,Mali,2015,MLI,2015MLI,5,17438.772,57.5,4.582098484,1.479868195,35.53292792,1.61,2139.735561
45,Malta,2015,MLT,2015MLT,3,433.559,81.9,6.61339426,5.141045998,47.88916061,1.61,39862.53107
98,Myanmar,2015,MMR,2015MMR,8,52680.724,65.8,4.223846436,1.647427119,38.54776205,1.61,4268.500515
87,Montenegro,2015,MNE,2015MNE,7,626.957,76.5,5.124921322,3.712395724,41.89296266,1.61,18321.89756
139,Mongolia,2015,MNG,2015MNG,8,2998.433,69.1,4.982719898,7.323417564,26.91293083,1.61,11022.95648
99,Mozambique,2015,MOZ,2015MOZ,5,27042.001,57.2,4.549767494,0.794238931,38.48049333,1.61,1262.613081
129,Mauritania,2015,MRT,2015MRT,5,4046.304,63.9,3.922664165,2.268294251,32.82463887,1.61,5127.436084
64,Mauritius,2015,MUS,2015MUS,5,1259.457,74.5,5.628891706,3.444039124,44.73934336,1.61,19897.4754
107,Malawi,2015,MWI,2015MWI,5,16745.305,62,3.86763835,0.851668057,37.48073827,1.61,1027.229606
51,Malaysia,2015,MYS,2015MYS,8,30270.965,75.5,6.322121143,3.913004379,47.3134855,1.61,24787.8262
109,Namibia,2015,NAM,2015NAM,5,2314.901,62.1,4.529762904,1.825591307,37.0056706,1.61,10487.50002
134,Niger,2015,NER,2015NER,5,20001.663,60.6,3.671453714,1.633603934,31.74591484,1.61,1132.331205
114,Nigeria,2015,NGA,2015NGA,5,181137.454,53.1,4.932914734,1.089426287,35.8888557,1.61,5514.770455
5,Nicaragua,2015,NIC,2015NIC,1,6223.234,73.6,5.924112797,1.498266138,57.16899761,1.61,5630.397464
28,Netherlands,2015,NLD,2015NLD,3,16938.492,81.7,7.324437141,5.422548045,50.45889694,1.61,53143.29965
26,Norway,2015,NOR,2015NOR,3,5199.827,81.9,7.603433609,5.754590367,50.67855619,1.61,63188.66728
35,Nepal,2015,NPL,2015NPL,6,27015.033,69.5,4.812436581,0.962500331,49.28776969,1.61,2911.548304
15,New Zealand,2015,NZL,2015NZL,2,4614.527,81.7,7.418120861,4.925947837,53.20181426,1.61,41106.7184
43,Pakistan,2015,PAK,2015PAK,6,199426.953,66.6,4.823194981,0.791605196,48.10268146,1.61,4278.346427
3,Panama,2015,PAN,2015PAN,1,3968.49,77.8,6.605550289,2.353808081,59.61897837,1.61,28436.35983
24,Peru,2015,PER,2015PER,1,30470.739,75.8,5.577263355,2.371760991,50.85814263,1.61,12110.26888
10,Philippines,2015,PHL,2015PHL,8,102113.206,70.6,5.547489166,1.136656153,54.40935611,1.61,7300.135781
56,Poland,2015,POL,2015POL,7,38034.076,77.9,6.007021904,4.115993292,46.22308935,1.61,27885.80961
75,Portugal,2015,PRT,2015PRT,3,10368.346,81.2,5.080866337,3.94438521,43.53658371,1.61,31218.13566
60,Paraguay,2015,PRY,2015PRY,1,6688.746,73.7,5.559724331,2.966967429,46.02595075,1.61,11810.42797
16,"Palestine, State of",2015,PSE,2015PSE,4,4529.16,73.4,4.695239067,0.774529355,52.9289479,1.61,6048.976597
140,Qatar,2015,QAT,2015QAT,4,2565.708,79.8,6.374529362,14.58434634,24.87044297,1.61,95965.17643
37,Romania,2015,ROU,2015ROU,7,19925.182,75.5,5.777491093,2.931425287,48.85549262,1.61,23954.3959
101,Russia,2015,RUS,2015RUS,7,144985.059,71.5,5.995538712,5.178031955,38.06952237,1.61,25566.28763
95,Rwanda,2015,RWA,2015RWA,5,11369.066,67.5,3.483108997,0.686465198,39.61006104,1.61,1889.157275
97,Saudi Arabia,2015,SAU,2015SAU,4,31717.676,74.7,6.345491886,5.990331797,39.01627851,1.61,48921.22913
,Sudan,2015,SDN,2015SDN,5,38902.948,64.4,,1.306620824,,1.61,4191.823461
67,Senegal,2015,SEN,2015SEN,5,14578.45,66.7,4.61700058,1.152577572,44.45649306,1.61,2966.453516
73,Singapore,2015,SGP,2015SGP,8,5592.143,82.9,6.619524956,6.4393368,43.65209629,1.61,89366.30789
115,Sierra Leone,2015,SLE,2015SLE,5,7171.909,52.9,4.908617973,1.052693655,35.76663953,1.61,1551.822009
13,El Salvador,2015,SLV,2015SLV,1,6325.121,72.4,6.018496037,1.954985131,53.68541181,1.61,8143.016917
